year,bikes_count,docks_count,name
2010,1,17,"Jewry Street, Aldgate"
2010,2,18,"Crawford Street, Marylebone"
2017,2,18,"Arundel Street, Temple"
2010,2,17,"Geraldine Street, Elephant & Castle"
2010,3,18,"Sackville Street, Mayfair"
2010,3,18,"Butler Place, Westminster"
2010,4,19,"Lexham Gardens, Kensington"
2012,4,19,"Millharbour, Millwall"
2010,5,20,"Waterloo Place, St. James's"
2010,5,21,"Curlew Street, Shad Thames"
2012,5,21,"Whiston Road, Haggerston"
,5,20,"Tower Wharf, Bermondsey"
,6,21,"Lansdowne Walk, Ladbroke Grove"
2012,7,22,"Killick Street, King's Cross"
2010,8,24,"Pindar Street, Liverpool Street"
2010,8,25,"Kensington Olympia Station, Olympia"
2010,9,24,"Rodney Road , Walworth"
,9,26,"Preston's Road, Cubitt Town"
2013,9,26,"Fulham Broadway, Walham Green"
2016,9,24,"Bevington Road West, North Kensington"
2016,9,24,"Victory Place, Walworth"
2010,10,26,"William IV Street, Strand"
,10,26,"Addison Road, Holland Park"
2010,11,26,"Theobald's Road , Holborn"
2010,13,30,"Shoreditch Park, Hoxton"
2010,13,28,"Putney Pier, Wandsworth"
2020,13,30,"Bermondsey Station, Bermondsey"
2013,14,30,"Wandsworth Rd, Isley Court, Wandsworth Road"
2013,15,31,"Plough Terrace, Clapham Junction"
2016,15,30,"Tate Modern, Bankside"
,23,41,"Strata, Elephant & Castle"
,24,40,"Carnegie Street, King's Cross"
2012,28,44,"Lindfield Street, Poplar"
2010,0,17,"Gower Place , Euston"
2010,0,16,"Portugal Street, Holborn"
2010,1,18,"Vicarage Gate, Kensington"
2011,1,18,"South Parade, Chelsea"
2010,2,18,"Broadcasting House, Marylebone"
2010,2,18,"Grafton Street, Mayfair"
2010,2,18,"Lisson Grove, St. John's Wood"
2010,2,18,"Golden Square, Soho"
2010,2,18,"Lambeth Road, Vauxhall"
2011,2,18,"Upper Grosvenor Street, Mayfair"
2013,2,18,"Park Lane, Mayfair"
2010,3,19,"New Globe Walk, Bankside"
2010,3,20,"Southampton Place, Holborn"
2010,3,21,"Hinde Street, Marylebone"
2013,4,21,"Danvers Street, West Chelsea"
2013,4,21,"Charing Cross Hospital, Hammersmith"
2012,5,22,"Monument Street, Monument"
2013,5,22,"Smugglers Way, Wandsworth"
,6,22,"Hammersmith Road, Hammersmith"
2010,7,24,"Pont Street, Knightsbridge"
2013,7,25,"Hertford Road, De Beauvoir Town"
2016,7,24,"Kings Gate House, Westminster"
2010,8,24,"Brunswick Square, Bloomsbury"
2010,8,24,"Ilchester Place, Kensington"
,8,24,"Gloucester Avenue, Camden Town"
,11,27,"Albany Street, The Regent's Park"
,11,28,"Manbre Road, Hammersmith"
2013,12,28,"Morie Street, Wandsworth"
2010,14,34,"Old Street Station, St. Luke's"
2013,14,30,"Vicarage Crescent, Battersea"
2013,15,31,"Snowsfields, London Bridge"
2012,19,36,"South Quay East, Canary Wharf"
2016,21,37,"New Spring Gardens Walk, Vauxhall"
2013,23,40,"Courland Grove, Wandsworth Road"
2018,26,42,"Saltoun Road, Brixton"
2010,32,50,"St. John's Wood Church, The Regent's Park"
2010,0,19,"Sumner Place, South Kensington"
2010,0,17,"North Audley Street, Mayfair"
2010,0,18,"St. George Street, Mayfair"
2011,0,18,"Prince Consort Road, Knightsbridge"
2011,0,17,"Clifford Street, Mayfair"
2010,1,19,"River Street , Clerkenwell"
