year,start_station_name,num_rides
2015,"Leonard Circus , Shoreditch",26425
2015,"Lexham Gardens, Kensington",10738
2015,"Lightermans Road, Millwall",4991
2015,"Limburg Road, Clapham Common",466
2015,"Limburg Road, Clapham Junction",1460
2015,"Limerston Street, Chelsea",5488
2015,"Limerston Street, West Chelsea",15757
2015,"Lindfield Street, Poplar",6798
2015,"Lisson Grove, St. John's Wood",7109
2015,"Little Argyll Street, West End",28696
2015,"Little Brook Green, Brook Green",4917
2015,"Liverpool Road (N1 Centre), Angel",22155
2015,"Lodge Road, St. John's Wood",2510
2015,"Lollard Street, Vauxhall",7660
2015,"London Zoo Car Park, Regent's Park",3122
2015,"London Zoo Car Park, The Regent's Park",8672
2015,"London Zoo,  The Regent's Park",7544
2015,"London Zoo, Regents Park",2391
2015,"Long Lane , Bermondsey",10982
2015,"Longford Street, Regent's Park",2776
2015,"Longford Street, The Regent's Park",7386
2015,"Lord's, St. John's Wood",3836
2015,"Lots Road, West Chelsea",7640
2015,"Lower Marsh, Waterloo",12424
2015,"Lower Thames Street, Monument",8835
2015,"Macclesfield Rd, St Lukes",10323
2015,"Maclise Road, Olympia",11574
2015,"Malet Street, Bloomsbury",27865
2015,"Mallory Street, Marylebone",4252
2015,"Malmesbury Road, Bow",1574
2015,"Manbre Road, Hammersmith",6649
2015,"Manfred Road, East Putney",1481
2015,"Manresa Road, Chelsea",11699
2015,"Margery Street, Clerkenwell",11010
2015,"Marloes Road, Kensington",5524
2015,"Marylebone Lane, Marylebone",16884
2015,Mechanical Workshop Penton,1
2015,"Mexfield Road, East Putney",2632
2015,"Michael Road, Walham Green",9871
2015,"Mile End Park Leisure Centre, Mile End",8176
2015,"Mile End Stadium, Mile End",8755
2015,"Millbank House, Pimlico",3799
2015,"Millbank Tower, Pimlico",10262
2015,"Millennium Hotel, Mayfair",8263
2015,"Millharbour, Millwall",2224
2015,"Milroy Walk, South Bank",12308
2015,Monier Road,11
2015,"Monier Road, Newham",25
2015,"Montgomery Square, Canary Wharf",6665
2015,"Montpelier Street, Knightsbridge",18105
2015,"Montserrat Road , Putney",4326
2015,"Monument Street, Monument",10997
2015,"Moor Street, Soho",27444
2015,"Moorfields, Moorgate",29952
2015,"Morie Street, Wandsworth",2355
2015,"Mostyn Grove, Bow",7641
2015,"Mudchute DLR, Cubitt Town",3243
2015,"Murray Grove , Hoxton",9698
2015,"Museum of London, Barbican",19758
2015,"Nantes Close, Clapham Junction",2293
2015,"Nantes Close, Wandsworth",857
2015,"Napier Avenue, Millwall",5351
2015,"Natural History Museum, South Kensington",17401
2015,"Naval Row, Blackwall",3175
2015,"Nesham Street, Wapping",23378
2015,"Nevern Place, Earl's Court",9339
2015,"Neville Gill Close, Wandsworth",5276
2015,"New Cavendish Street, Marylebone",10281
2015,"New Fetter Lane, Holborn",16680
2015,"New Globe Walk, Bankside",18380
2015,"New Inn Yard, Shoreditch",17202
2015,"New Kent Road, Borough",2236
2015,"New Kent Road, The Borough",7697
2015,"New North Road 1, Hoxton",4587
2015,"New North Road 2, Hoxton",7029
2015,"New Road  2, Whitechapel",3342
2015,"New Road 1 , Whitechapel",5909
2015,"Newby Place, Poplar",3295
2015,"Newgate Street , St. Paul's",32940
2015,"Newton Street, Covent Garden",11459
2015,"Normand Park, Fulham",3430
2015,"Normand Park, West Kensington",10133
2015,"North Audley Street, Mayfair",12046
2015,"North Wharf Road, Paddington",11026
2015,"Northdown Street, King's Cross",11704
2015,"Northfields, Wandsworth",4245
2015,"Northington Street , Holborn",16483
2015,"Northumberland Avenue, Strand",18429
2015,"Norton Folgate, Liverpool Street",15065
2015,"Notting Hill Gate Station, Notting Hill",27915
2015,"Nutford Place, Marylebone",11137
2015,"Old Brompton Road, South Kensington",14925
2015,"Old Ford Road, Bethnal Green",11738
2015,"Old Montague Street, Whitechapel",16327
2015,"Old Quebec Street, Marylebone",17676
2015,"Old Street Station, St. Luke's",36097
2015,"Olympia Way, Olympia",12890
2015,"Ontario Street, Elephant & Castle",12491
2015,"Orbel Street, Battersea",6256
2015,"Ormonde Gate, Chelsea",8932
2015,"Orsett Terrace, Bayswater",3373
2015,"Osiers Road, Wandsworth",7917
2015,"Oval Way, Lambeth",870
2015,"Oval Way, Vauxhall",2571
2015,"Oxford Road, Putney",1901
2015,"Paddington Green Police Station, Paddington",5804
2015,"Paddington Green, Paddington",3607
2015,"Paddington Street, Marylebone",10846
2015,"Page Street, Westminster",12434
2015,"Palace Gardens Terrace, Notting Hill",15245
2015,"Palace Gate, Kensington Gardens",41546
2015,"Palissy Street, Shoreditch",7848
2015,"Pall Mall East, West End",19812
2015,"Pancras Road, King's Cross",11100
2015,"Panton Street, West End",16059
2015,"Park Lane , Hyde Park",16492
2015,"Park Lane, Mayfair",9703
2015,"Park Road (Baker Street), Regent's Park",5304
2015,"Park Road (Baker Street), The Regent's Park",14467
2015,"Park Street, Bankside",11252
2015,"Parkway, Camden Town",11389
2015,"Parson's Green , Parson's Green",15027
2015,"Parsons Green Station, Parsons Green",15928
2015,"Pembridge Villas, Notting Hill",9149
2015,"Penfold Street, Marylebone",5375
2015,"Pennington Street, Wapping",5195
2015,"Penywern Road, Earl's Court",12542
2015,"Percival Street, Finsbury",12341
2015,"Peterborough Road, Sands End",3925
2015,"Phene Street, Chelsea",11263
2015,"Phillimore Gardens, Kensington",12694
2015,"Philpot Street, Whitechapel",11420
2015,"Pitfield Street (North),Hoxton",5156
2015,"Pitfield Street Central, Hoxton",8781
2015,"Pitfield Street North,Hoxton",11742
2015,"Plough Terrace, Clapham Junction",4462
2015,"Pont Street, Knightsbridge",10687
2015,"Porchester Place, Paddington",13330
2015,"Portland Place, Marylebone",14530
2015,"Portman Square, Marylebone",10887
2015,"Portugal Street, Holborn",6535
2015,"Pott Street, Bethnal Green",16798
2015,"Poured Lines, Bankside",20183
2015,"Preston's Road, Cubitt Town",2873
2015,"Prince Albert Road, Regent's Park",3465
2015,"Prince Albert Road, The Regent's Park",9873
2015,"Prince Consort Road, Knightsbridge",12408
2015,"Prince of Wales Drive, Battersea Park",9108
2015,"Princedale Road , Holland Park",7492
2015,"Princes Square, Bayswater",7767
2015,"Pritchard's Road, Bethnal Green",18396
2015,"Putney Bridge Road, East Putney",3804
2015,"Putney Bridge Station, Fulham",10246
2015,"Putney Pier, Wandsworth",3714
2015,"Putney Rail Station, Putney",3394
2015,"Queen Mary's, Mile End",3432
